index,Time,Open,High,Low,Close,Daily,Range,ADR,ADR_min,Fractal,Swing_Price,Swing_Type,Hour,Swing_Difference,Time_Difference,Retracement,pip_move,end_index,Swing_Length,Next_Swing,Largest_bar
139668,2020-11-19 03:00:00,1.1845,1.1845,1.1832,1.18322,2020-11-19 00:00:00,0.0013,0.0013475,0.0027,D,1.1832,T,3,-0.00448,0,1.770750988,0.00448,139697,33,S,0.0021
139697,2020-11-19 10:15:00,1.185,1.18523,1.1849,1.18498,2020-11-19 00:00:00,0.00033,0.0013475,0.0027,U,1.18523,S,10,0.00203,0,0.453125,0.00203,139709,29,T,0.0021
139709,2020-11-19 13:15:00,1.18246,1.1825,1.18163,1.18213,2020-11-19 00:00:00,0.00087,0.0013475,0.0027,D,1.18163,T,13,-0.0036,0,1.773399015,0.0036,139719,12,S,0.00173
139719,2020-11-19 15:45:00,1.18348,1.18415,1.18336,1.1836,2020-11-19 00:00:00,0.00079,0.0013475,0.0027,U,1.18415,S,15,0.00252,0,0.7,0.00252,139726,10,F,0.00161
139726,2020-11-19 17:30:00,1.18255,1.18275,1.18185,1.18256,2020-11-19 00:00:00,0.0009,0.0013475,0.0027,D,1.18185,F,17,-0.0023,0,0.912698413,0.0023,139752,7,T,0.00129
139752,2020-11-20 00:00:00,1.18789,1.18826,1.1877,1.1882,2020-11-20 00:00:00,0.00056,0.00148225,0.00296,U,1.18826,T,0,0.00641,0,2.786956522,0.00641,139763,26,S,0.00195
139763,2020-11-20 02:45:00,1.18676,1.18694,1.18652,1.18655,2020-11-20 00:00:00,0.00042,0.00148225,0.00296,D,1.18652,S,2,-0.00174,0,0.271450858,0.00174,139786,11,T,0.00073
139786,2020-11-20 08:30:00,1.1882,1.18908,1.18812,1.18874,2020-11-20 00:00:00,0.00096,0.00148225,0.00296,U,1.18908,T,8,0.00256,0,1.471264368,0.00256,139805,23,E,0.00103
139805,2020-11-20 13:15:00,1.18577,1.18598,1.18513,1.18528,2020-11-20 00:00:00,0.00085,0.00148225,0.00296,D,1.18513,E,13,-0.00395,0,1.54296875,0.00395,139812,19,S,0.0017
139812,2020-11-20 15:00:00,1.1874,1.18783,1.1868,1.18702,2020-11-20 00:00:00,0.00103,0.00148225,0.00296,U,1.18783,S,15,0.0027,0,0.683544304,0.0027,139817,7,F,0.00175
